key,n_samples,mean_true,mean_gen,var_true,var_gen,skew_true,skew_gen,kurt_true,kurt_gen,psd_power_ratio,psd_log_l2,peak_freq_true_hz,peak_freq_gen_hz
Alpha1_4/3_1_3/a085/sideright,4896,0.5241727232933044,0.5241157412528992,0.03534325584769249,0.03205040469765663,0.31748686387948455,0.3141717228406969,2.7069437503814697,2.65696382522583,0.8272883892059326,0.5382688045501709,3.90625,3.90625
Alpha1_4/3_1_3/a090/windward,4896,-0.3952958881855011,-0.3954271674156189,0.008160693570971489,0.007157682441174984,-0.0007973542701065068,-0.032991132025075774,2.857543706893921,2.6670496463775635,0.7770072221755981,0.7271386384963989,3.90625,3.90625
Alpha1_4/3_1_3/a090/leeward,4896,-0.47125065326690674,-0.47118309140205383,0.014582931995391846,0.013326584361493587,-0.42736002537342876,-0.44470154275751483,2.896925449371338,2.755918025970459,0.8212140798568726,0.6690079569816589,3.90625,3.90625
Alpha1_4/3_1_3/a090/sideleft,4896,-0.2517264485359192,-0.25211894512176514,0.001979442313313484,0.0013329772045835853,0.07811850973358782,0.05055819803000382,3.180241823196411,2.9936342239379883,0.47243136167526245,1.0656934976577759,3.90625,3.90625
Alpha1_4/3_1_3/a090/sideright,4896,0.5199965834617615,0.5199936628341675,0.029095182195305824,0.025811048224568367,0.25046467034039377,0.22378397372899164,2.4663047790527344,2.3436059951782227,0.7808117866516113,0.524416446685791,3.90625,3.90625
Alpha1_4/3_1_3/a095/windward,4896,-0.49157509207725525,-0.4915487766265869,0.017825668677687645,0.01653699204325676,-0.8866272464896297,-0.9150616416428096,4.1310248374938965,4.111954689025879,0.8076116442680359,0.6708950996398926,3.90625,3.90625
Alpha1_4/3_1_3/a095/leeward,4896,-0.32368654012680054,-0.32373178005218506,0.012279744260013103,0.011139466427266598,-0.2728840225011308,-0.3001143371803928,2.4496192932128906,2.3825674057006836,0.7821277379989624,0.6727350950241089,3.90625,3.90625
Alpha1_4/3_1_3/a095/sideleft,4896,-0.2506342828273773,-0.2509416937828064,0.0023159636184573174,0.0016882196068763733,-0.23879864913750176,-0.42595394954050725,3.5226211547851562,3.8353075981140137,0.5169060826301575,1.0717626810073853,3.90625,3.90625
Alpha1_4/3_1_3/a095/sideright,4896,0.4843727946281433,0.4844115078449249,0.04048489034175873,0.036960702389478683,0.7829460168989261,0.8215017723822032,3.8369812965393066,4.0169172286987305,0.7913519144058228,0.5857104063034058,3.90625,3.90625
Alpha1_4/3_1_3/a100/windward,4896,-0.6001185774803162,-0.6002102494239807,0.013608505949378014,0.012414020486176014,-0.7571699416965522,-0.7812615455636666,3.6893396377563477,3.5808920860290527,0.8458105325698853,0.6504000425338745,3.90625,3.90625
Alpha1_4/3_1_3/a100/leeward,4896,-0.24043992161750793,-0.2405409961938858,0.008958174847066402,0.007779852021485567,-0.16071940105287208,-0.2490892562855196,3.07843017578125,2.910846471786499,0.7821950316429138,0.6600667834281921,3.90625,3.90625
Alpha1_4/3_1_3/a100/sideleft,4896,-0.2862282693386078,-0.286393404006958,0.0028925850056111813,0.002192071173340082,-0.09137476751648267,-0.14473220184405225,2.7576966285705566,2.6987361907958984,0.5937817096710205,0.8894360065460205,3.90625,3.90625
Alpha1_4/3_1_3/a100/sideright,4896,0.48918068408966064,0.4890521168708801,0.02012469992041588,0.017338775098323822,0.2705409389277951,0.25756484615864805,3.0413267612457275,3.1294400691986084,0.7802903652191162,0.5363572835922241,3.90625,3.90625
Alpha1_6/1_1_3/a000/windward,4896,0.622785210609436,0.6226702928543091,0.03455555811524391,0.03117862343788147,0.6878362522948777,0.7278305896561735,3.3972034454345703,3.347923755645752,0.7817866206169128,0.6428582668304443,3.90625,3.90625
Alpha1_6/1_1_3/a000/leeward,4896,-0.5869555473327637,-0.5869867205619812,0.018590282648801804,0.016431555151939392,-0.8235953844687794,-0.8287879849766199,3.589801073074341,3.363424062728882,0.7202648520469666,0.5563272833824158,3.90625,3.90625
Alpha1_6/1_1_3/a000/sideleft,4896,-0.9542941451072693,-0.9543594717979431,0.08095414936542511,0.06979093700647354,-0.9695156274101638,-0.975657176011911,4.04549503326416,4.092444896697998,0.7983464598655701,1.0102698802947998,7.8125,7.8125
Alpha1_6/1_1_3/a000/sideright,4896,-0.909426212310791,-0.9095603823661804,0.0694308876991272,0.05843893811106682,-0.9689002692915752,-0.9588539668596131,4.376099109649658,4.111274242401123,0.7934540510177612,1.1068077087402344,7.8125,7.8125
Alpha1_6/1_1_3/a005/windward,4896,0.6100611686706543,0.6100965738296509,0.024589816108345985,0.02170424535870552,0.24923969444630137,0.22099000937999438,2.8420538902282715,2.7382583618164062,0.8122200965881348,0.6025282144546509,3.90625,3.90625
Alpha1_6/1_1_3/a005/leeward,4896,-0.5676348209381104,-0.5677573680877686,0.011362154968082905,0.009659729897975922,-0.4774316275100885,-0.4730870641262932,2.8487532138824463,2.685438632965088,0.752824068069458,0.544806182384491,3.90625,3.90625
Alpha1_6/1_1_3/a005/sideleft,4896,-0.8329073786735535,-0.8332325220108032,0.04166830703616142,0.0331256128847599,-0.3931053285250545,-0.313657374342075,2.698672294616699,2.497140407562256,0.7518259882926941,0.9086248874664307,7.8125,7.8125
Alpha1_6/1_1_3/a005/sideright,4896,-0.9254844784736633,-0.9257524013519287,0.039941925555467606,0.03244991973042488,-0.5546522630710928,-0.4990549622031337,3.5328176021575928,3.5509190559387207,0.7605465650558472,0.7038437724113464,7.8125,3.90625
Alpha1_6/1_1_3/a010/windward,4896,0.6619713306427002,0.6618902683258057,0.02958078309893608,0.026060862466692924,0.1138380078957154,0.04591324357561059,2.6995489597320557,2.594456672668457,0.8077654242515564,0.6798811554908752,3.90625,3.90625
Alpha1_6/1_1_3/a010/leeward,4896,-0.614252507686615,-0.6143290996551514,0.010099627077579498,0.00828931201249361,-0.42330876594366557,-0.40369344018843034,3.126368522644043,3.065864324569702,0.680544376373291,0.5259183049201965,3.90625,3.90625
Alpha1_6/1_1_3/a010/sideleft,4896,-0.8390457034111023,-0.8393089771270752,0.03917773440480232,0.033237047493457794,-1.0232932696412826,-1.147809521985879,4.202698707580566,4.485614776611328,0.7785887122154236,0.9105435609817505,11.71875,3.90625
Alpha1_6/1_1_3/a010/sideright,4896,-0.942803680896759,-0.9430240988731384,0.05218951031565666,0.04483915492892265,-0.4051152365135331,-0.3386301658705637,2.8646187782287598,2.7283802032470703,0.7894729375839233,0.7076573967933655,3.90625,3.90625
Alpha1_6/1_1_3/a015/windward,4896,0.6420827507972717,0.6417520642280579,0.026282288134098053,0.023135656490921974,0.5572336675807772,0.6013495006362568,3.9028255939483643,4.079250812530518,0.8027891516685486,0.5765899419784546,3.90625,3.90625
Alpha1_6/1_1_3/a015/leeward,4896,-0.5897241234779358,-0.5898505449295044,0.009350420907139778,0.007635076064616442,-0.5020449977127787,-0.5715894021387593,3.127711057662964,3.270597219467163,0.7244942784309387,0.5862152576446533,3.90625,3.90625
Alpha1_6/1_1_3/a015/sideleft,4896,-0.7720392942428589,-0.7721260190010071,0.024551665410399437,0.019717860966920853,-0.9305821757382416,-1.0099629711136222,4.30921745300293,4.672767639160156,0.7285942435264587,0.7272143363952637,11.71875,3.90625
Alpha1_6/1_1_3/a015/sideright,4896,-0.7746040225028992,-0.7746041417121887,0.05545349419116974,0.04878408834338188,-0.35669915337556707,-0.2038818914023579,3.6624977588653564,3.1927311420440674,0.7788574695587158,0.5449597835540771,3.90625,3.90625
Alpha1_6/1_1_3/a020/windward,4896,0.6306475400924683,0.630482017993927,0.034280769526958466,0.031139804050326347,0.49563321569296637,0.5193527275116465,2.8893251419067383,2.8447422981262207,0.8259884715080261,0.6316102743148804,3.90625,3.90625
Alpha1_6/1_1_3/a020/leeward,4896,-0.615369439125061,-0.6153004169464111,0.009459278546273708,0.008146223612129688,-0.7519768021470877,-0.8287218492405487,3.833308458328247,3.938606023788452,0.7383531928062439,0.6101865768432617,3.90625,3.90625
Alpha1_6/1_1_3/a020/sideleft,4896,-0.7364301681518555,-0.736496090888977,0.01625135913491249,0.013511852361261845,-0.6827488917617568,-0.6132185251695177,3.172852039337158,2.9745447635650635,0.7198610901832581,0.6246376037597656,3.90625,3.90625
Alpha1_6/1_1_3/a020/sideright,4896,-0.5340781807899475,-0.5339679718017578,0.06384708732366562,0.058234844356775284,-0.5243875568392673,-0.4272503674172452,3.5894267559051514,3.3702032566070557,0.8202840089797974,0.578667163848877,3.90625,3.90625
Alpha1_6/1_1_3/a025/windward,4896,0.5736887454986572,0.5736484527587891,0.026464419439435005,0.023728691041469574,0.7639783711566958,0.7978276310428414,3.549487829208374,3.512739419937134,0.8163655996322632,0.596625566482544,3.90625,3.90625
Alpha1_6/1_1_3/a025/leeward,4896,-0.5893290638923645,-0.5893540978431702,0.0066333068534731865,0.005673791281878948,-0.49117000682125667,-0.47245646853207407,2.8629891872406006,2.7303671836853027,0.7288258671760559,0.718087375164032,3.90625,3.90625
Alpha1_6/1_1_3/a025/sideleft,4896,-0.7038883566856384,-0.7038875222206116,0.013991791754961014,0.011932163499295712,-0.6845115469600419,-0.6910188793896336,3.569489002227783,3.476386785507202,0.7877079844474792,0.6194428205490112,3.90625,3.90625
Alpha1_6/1_1_3/a025/sideright,4896,-0.2988932132720947,-0.2989204227924347,0.03049171343445778,0.02714400179684162,0.01030672186913899,0.045044599560830734,3.3066909313201904,3.215345621109009,0.7959000468254089,0.5077429413795471,3.90625,3.90625
Alpha1_6/1_1_3/a030/windward,4896,0.5180800557136536,0.5179756283760071,0.028542574495077133,0.025559663772583008,1.2057925654349506,1.305487131702515,5.298460006713867,5.527824878692627,0.8119809031486511,0.6474536657333374,3.90625,3.90625
Alpha1_6/1_1_3/a030/leeward,4896,-0.6091527938842773,-0.6091533303260803,0.008585173636674881,0.007582899648696184,-0.7542992876908022,-0.7227563408736319,3.7307233810424805,3.4169886112213135,0.753696084022522,0.6154338121414185,3.90625,3.90625
Alpha1_6/1_1_3/a030/sideleft,4896,-0.69132399559021,-0.6914008855819702,0.012395848520100117,0.010554133914411068,-1.1437343762112293,-1.103190698292221,5.238048076629639,4.547701358795166,0.6945182085037231,0.5893136262893677,3.90625,3.90625
Alpha1_6/1_1_3/a030/sideright,4896,-0.052306853234767914,-0.05274062231183052,0.030741849914193153,0.02692624367773533,-0.6070410368397599,-0.6641603628005578,3.626743793487549,3.686924457550049,0.8050305247306824,0.6266424655914307,3.90625,3.90625
Alpha1_6/1_1_3/a035/windward,4896,0.5147978067398071,0.5139755606651306,0.029080353677272797,0.026119403541088104,0.5883851344753166,0.5887263338411521,3.274003028869629,3.230192184448242,0.8208100199699402,0.6375885605812073,3.90625,3.90625
Alpha1_6/1_1_3/a035/leeward,4896,-0.6524289846420288,-0.6523899435997009,0.010414502583444118,0.009494973346590996,-1.2349108717435036,-1.324001549503706,5.957788944244385,6.253262996673584,0.7811483144760132,0.6257933378219604,3.90625,3.90625
Alpha1_6/1_1_3/a035/sideleft,4896,-0.6983106732368469,-0.6983128190040588,0.011749462224543095,0.010517184622585773,-0.8456545924798666,-0.8035773166215461,3.932009220123291,3.574532985687256,0.7515156269073486,0.5820304751396179,3.90625,3.90625
Alpha1_6/1_1_3/a035/sideright,4896,0.09521345794200897,0.09456327557563782,0.023407649248838425,0.020157916471362114,0.3931795088311982,0.4430907595541199,3.743788480758667,3.9442858695983887,0.7763011455535889,0.6370896697044373,3.90625,3.90625
Alpha1_6/1_1_3/a040/windward,4896,0.3832145035266876,0.382938414812088,0.025727130472660065,0.02312428504228592,1.1102170572771606,1.214810673038647,4.243000507354736,4.383182525634766,0.8310821652412415,0.6204310059547424,3.90625,3.90625
Alpha1_6/1_1_3/a040/leeward,4896,-0.6202623248100281,-0.6202938556671143,0.009232780896127224,0.008343166671693325,-0.41435602100931357,-0.4080834538734053,2.8213205337524414,2.7431719303131104,0.7983970046043396,0.6483599543571472,3.90625,3.90625
Alpha1_6/1_1_3/a040/sideleft,4896,-0.6528931856155396,-0.6528570652008057,0.010390009731054306,0.009358532726764679,-0.5941718604374718,-0.6512304964888675,3.0308732986450195,2.9978392124176025,0.7618564367294312,0.6322546601295471,3.90625,3.90625
Alpha1_6/1_1_3/a040/sideright,4896,0.19749240577220917,0.1972121000289917,0.023048976436257362,0.02076292596757412,-0.07895703040656489,-0.06630263849793636,3.361795663833618,3.326780080795288,0.8490369319915771,0.6190486550331116,3.90625,3.90625
Alpha1_6/1_1_3/a045/windward,4896,0.330108106136322,0.33002352714538574,0.021181415766477585,0.018431667238473892,0.5715716113825224,0.5341509404782169,3.0074687004089355,2.8086459636688232,0.7601614594459534,0.542976975440979,3.90625,3.90625
Alpha1_6/1_1_3/a045/leeward,4896,-0.6978524327278137,-0.6977146863937378,0.016091881319880486,0.014818663708865643,-0.2893357784024002,-0.22111589808064672,2.995277166366577,2.804159641265869,0.7941898107528687,0.5713905692100525,3.90625,3.90625
Alpha1_6/1_1_3/a045/sideleft,4896,-0.6957441568374634,-0.6955195665359497,0.01537124440073967,0.014201104640960693,-0.469705585951623,-0.4529496395810367,2.7253847122192383,2.6531548500061035,0.7915598750114441,0.5514557361602783,3.90625,3.90625
Alpha1_6/1_1_3/a045/sideright,4896,0.34875398874282837,0.3484470248222351,0.02736893855035305,0.02468513883650303,0.19086167530765913,0.1502031612426621,2.2552707195281982,2.128309726715088,0.8112616539001465,0.5683716535568237,3.90625,3.90625
Alpha1_6/1_1_3/a050/windward,4896,0.2146679311990738,0.21447519958019257,0.02366653084754944,0.021250424906611443,0.4875490062559443,0.5386359069355581,3.105255603790283,2.9403228759765625,0.7726655602455139,0.5755317807197571,3.90625,3.90625
Alpha1_6/1_1_3/a050/leeward,4896,-0.6349883079528809,-0.6348960995674133,0.00999287236481905,0.009015784598886967,-0.3960833341483571,-0.3837224680084495,2.7145743370056152,2.5928189754486084,0.7408640384674072,0.6553758382797241,3.90625,3.90625
Alpha1_6/1_1_3/a050/sideleft,4896,-0.6134455800056458,-0.6134803295135498,0.009339706972241402,0.008565502241253853,-0.31373852231179383,-0.2811403383379601,2.727569103240967,2.5340914726257324,0.7865347266197205,0.6723161339759827,3.90625,3.90625
Alpha1_6/1_1_3/a050/sideright,4896,0.38620734214782715,0.3860512673854828,0.01851877011358738,0.01633269339799881,0.5847333265457193,0.6006584052970492,3.4597041606903076,3.4686882495880127,0.8027740120887756,0.6075447201728821,3.90625,3.90625
Alpha1_6/3_1_3/a000/windward,4896,0.776630699634552,0.7766236662864685,0.03619968518614769,0.03324635326862335,0.7323698478376706,0.7424182606904252,4.262994766235352,4.156208515167236,0.8587594628334045,0.6623069047927856,3.90625,3.90625
